time	V(n002)	V(n005)
4.132489480120137e-004	-5.769374e+000	1.342652e+001
4.132618224093987e-004	-5.770020e+000	1.342779e+001
4.132722882612622e-004	-5.770797e+000	1.342877e+001
4.132859231585242e-004	-5.771868e+000	1.342998e+001
4.133000250627432e-004	-5.772711e+000	1.343117e+001
4.133131859426712e-004	-5.773499e+000	1.343223e+001
4.133401073597633e-004	-5.775638e+000	1.343423e+001
4.133665467597955e-004	-5.777304e+000	1.343603e+001
4.133787123392660e-004	-5.778292e+000	1.343681e+001
4.133931233701355e-004	-5.779414e+000	1.343769e+001
4.134048267537762e-004	-5.780135e+000	1.343838e+001
4.134193926726044e-004	-5.781096e+000	1.343921e+001
4.134312105424326e-004	-5.782051e+000	1.343986e+001
4.134459168860321e-004	-5.783159e+000	1.344064e+001
4.134579351113086e-004	-5.783896e+000	1.344125e+001
4.134727932525633e-004	-5.784907e+000	1.344198e+001
4.134853593611531e-004	-5.785910e+000	1.344258e+001
4.135003470363717e-004	-5.786983e+000	1.344327e+001
4.135138392464127e-004	-5.787818e+000	1.344387e+001
4.135291061747935e-004	-5.788910e+000	1.344452e+001
4.135443343742094e-004	-5.790088e+000	1.344515e+001
4.135804916014451e-004	-5.792511e+000	1.344657e+001
4.136000502868659e-004	-5.793972e+000	1.344729e+001
4.136177698383791e-004	-5.795197e+000	1.344792e+001
4.136350400009967e-004	-5.796323e+000	1.344852e+001
4.136741339520332e-004	-5.799143e+000	1.344979e+001
4.136918201644788e-004	-5.800301e+000	1.345033e+001
4.137327977335858e-004	-5.803233e+000	1.345153e+001
4.137540266113218e-004	-5.804638e+000	1.345212e+001
4.137958675029937e-004	-5.807612e+000	1.345321e+001
4.138175909039802e-004	-5.809055e+000	1.345376e+001
4.138613983770971e-004	-5.812145e+000	1.345479e+001
4.138841319882374e-004	-5.813660e+000	1.345530e+001
4.139317363287781e-004	-5.816992e+000	1.345631e+001
4.139565796578461e-004	-5.818654e+000	1.345681e+001
4.140135340122437e-004	-5.822598e+000	1.345790e+001
4.140414559766466e-004	-5.824488e+000	1.345840e+001
4.141038331029467e-004	-5.828779e+000	1.345945e+001
4.146180373041415e-004	-5.863511e+000	1.346468e+001
4.151322415053363e-004	-5.897466e+000	1.346894e+001
4.156464457065311e-004	-5.930646e+000	1.347221e+001
4.161606499077258e-004	-5.963050e+000	1.347449e+001
4.166748541089206e-004	-5.994677e+000	1.347580e+001
4.171890583101154e-004	-6.025529e+000	1.347613e+001
4.177032625113102e-004	-6.055605e+000	1.347547e+001
4.209615761268402e-004	-6.226419e+000	1.347599e+001
4.242198897423701e-004	-6.371557e+000	1.347640e+001
4.274782033579001e-004	-6.491017e+000	1.347668e+001
4.307365169734300e-004	-6.584800e+000	1.347686e+001
4.339948305889600e-004	-6.652906e+000	1.347691e+001
4.372531442044900e-004	-6.695334e+000	1.347685e+001
4.405114578200199e-004	-6.712086e+000	1.347668e+001
4.410372834560542e-004	-6.713154e+000	1.347668e+001
4.415589917783442e-004	-6.713655e+000	1.347668e+001
4.420788264157859e-004	-6.713605e+000	1.347668e+001
4.431233710076449e-004	-6.711864e+000	1.347668e+001
4.447512696773405e-004	-6.704850e+000	1.347668e+001
4.465590059937229e-004	-6.691052e+000	1.347668e+001
4.487282502895172e-004	-6.666359e+000	1.347668e+001
4.519851876523271e-004	-6.612867e+000	1.347668e+001
4.537228582623056e-004	-6.576342e+000	1.347668e+001
4.562091401075054e-004	-6.514489e+000	1.347668e+001
4.600763361399976e-004	-6.400044e+000	1.347668e+001
4.639825861399976e-004	-6.263788e+000	1.347668e+001
4.678888361399976e-004	-6.106107e+000	1.347668e+001
4.717950861399976e-004	-5.928395e+000	1.347668e+001
4.757013361399976e-004	-5.732056e+000	1.347668e+001
4.796075861399976e-004	-5.518438e+000	1.347668e+001
4.835138361399976e-004	-5.288841e+000	1.347668e+001
4.913263361399976e-004	-4.786654e+000	1.347668e+001
4.991388361399976e-004	-4.234900e+000	1.347668e+001
5.030450861399976e-004	-3.943167e+000	1.347668e+001
5.069513361399976e-004	-3.642229e+000	1.347668e+001
5.108575861399976e-004	-3.333054e+000	1.347668e+001
5.147638361399976e-004	-3.016569e+000	1.347668e+001
5.186700861399976e-004	-2.693658e+000	1.347668e+001
5.225763361399976e-004	-2.365165e+000	1.347668e+001
5.264825861399976e-004	-2.031894e+000	1.347668e+001
5.303888361399976e-004	-1.694609e+000	1.347668e+001
5.342950861399977e-004	-1.354038e+000	1.347668e+001
5.382013361399977e-004	-1.010873e+000	1.347668e+001
5.421075861399977e-004	-6.657683e-001	1.347668e+001
5.460138361399977e-004	-3.194315e-001	1.347668e+001
5.476944969975256e-004	-1.701276e-001	1.347668e+001
5.487609310250593e-004	-7.528524e-002	1.347667e+001
5.493660211854014e-004	-2.145348e-002	1.347667e+001
5.505742893476074e-004	8.603529e-002	1.347667e+001
5.508321001892586e-004	1.089642e-001	1.347667e+001
5.510737505949738e-004	1.304596e-001	1.347667e+001
5.516822373332151e-004	1.845954e-001	1.347667e+001
5.526679890188067e-004	2.722883e-001	1.347667e+001
5.530468478161972e-004	3.059877e-001	1.347667e+001
5.539459592300605e-004	3.859540e-001	1.347667e+001
5.551744213744009e-004	4.951774e-001	1.347667e+001
5.568876006422918e-004	6.474009e-001	1.347667e+001
5.593204283431243e-004	8.632969e-001	1.347667e+001
5.609093365792003e-004	1.004075e+000	1.347667e+001
5.628840085412151e-004	1.178714e+000	1.347667e+001
5.655249508563979e-004	1.411627e+000	1.347667e+001
5.689356709881882e-004	1.711192e+000	1.347667e+001
5.728419209881882e-004	2.052355e+000	1.347667e+001
5.767481709881882e-004	2.391093e+000	1.347667e+001
5.806544209881882e-004	2.726985e+000	1.347667e+001
5.845606709881882e-004	3.059695e+000	1.347667e+001
5.884669209881882e-004	3.388911e+000	1.347667e+001
5.923731709881882e-004	3.714345e+000	1.347666e+001
5.997941199828087e-004	4.321410e+000	1.347478e+001
6.073645756801177e-004	4.923604e+000	1.346166e+001
6.112708256801177e-004	5.227273e+000	1.343490e+001
6.151770756801177e-004	5.527023e+000	1.337731e+001
6.152381108363676e-004	5.531575e+000	1.337247e+001
6.153601811488677e-004	5.540359e+000	1.335063e+001
6.154235936150789e-004	5.544659e+000	1.333008e+001
6.154565002247665e-004	5.546556e+000	1.331024e+001
6.154775432666770e-004	5.547432e+000	1.328927e+001
6.154956418462721e-004	5.547874e+000	1.326299e+001
6.155165399087848e-004	5.548134e+000	1.322334e+001
6.155416261048288e-004	5.548369e+000	1.316536e+001
6.155714640970296e-004	5.548716e+000	1.308367e+001
6.156015438932203e-004	5.549072e+000	1.298282e+001
6.156536098016561e-004	5.549310e+000	1.275834e+001
6.157190681094623e-004	5.548638e+000	1.238434e+001
6.157873711801582e-004	5.546926e+000	1.187839e+001
6.158366182252807e-004	5.545723e+000	1.143298e+001
6.158917321263452e-004	5.545836e+000	1.087357e+001
6.159506478095413e-004	5.548296e+000	1.025117e+001
6.160095225551669e-004	5.552406e+000	9.623644e+000
6.161447941742107e-004	5.562768e+000	8.178983e+000
6.164278824450620e-004	5.583779e+000	5.142980e+000
6.166391466983991e-004	5.599407e+000	2.866135e+000
6.170616752050732e-004	5.630357e+000	-1.721262e+000
6.179067322184210e-004	5.691586e+000	-1.096198e+001
6.181179964717580e-004	5.719677e+000	-1.294518e+001
6.182201534174953e-004	5.747990e+000	-1.338892e+001
6.182672594790819e-004	5.759752e+000	-1.341449e+001
6.182754430097948e-004	5.760199e+000	-1.341603e+001
6.182846220954791e-004	5.760106e+000	-1.341752e+001
6.182930995959550e-004	5.760262e+000	-1.341882e+001
6.183008000175488e-004	5.760498e+000	-1.341994e+001
6.183108833575451e-004	5.760850e+000	-1.342133e+001
6.183217013558248e-004	5.761237e+000	-1.342273e+001
6.183325926086350e-004	5.761625e+000	-1.342406e+001
6.183450696525135e-004	5.762097e+000	-1.342550e+001
6.183592688466634e-004	5.762728e+000	-1.342702e+001
6.183773900276602e-004	5.763717e+000	-1.342882e+001
6.184012031494645e-004	5.765248e+000	-1.343098e+001
6.184305593053686e-004	5.767303e+000	-1.343339e+001
6.184868733768579e-004	5.771372e+000	-1.343739e+001
6.185180741633740e-004	5.773636e+000	-1.343929e+001
6.185576754571725e-004	5.776476e+000	-1.344145e+001
6.187058407120436e-004	5.786931e+000	-1.344792e+001
6.189133732729837e-004	5.801398e+000	-1.345409e+001
6.196329730592848e-004	5.850429e+000	-1.346538e+001
6.217855163693420e-004	5.987532e+000	-1.347526e+001
6.248328693596755e-004	6.158471e+000	-1.347745e+001
6.272529405398522e-004	6.275285e+000	-1.347769e+001
