time	V(vin+)	V(vout)
4.655900245019016e-003	-8.302425e-001	-1.321604e+001
4.658400239801195e-003	-8.388994e-001	-1.332867e+001
4.670808358928395e-003	-8.791283e-001	-1.337213e+001
4.683216478055596e-003	-9.135978e-001	-1.340650e+001
4.695624597182795e-003	-9.423080e-001	-1.343178e+001
4.708032716309996e-003	-9.652590e-001	-1.344798e+001
4.720440835437195e-003	-9.824506e-001	-1.345510e+001
4.732848954564396e-003	-9.938830e-001	-1.345312e+001
4.745257073691596e-003	-9.995560e-001	-1.344206e+001
4.762835198691596e-003	-9.967499e-001	-1.344178e+001
4.780413323691597e-003	-9.817973e-001	-1.343943e+001
4.797991448691598e-003	-9.548805e-001	-1.343436e+001
4.815569573691598e-003	-9.163275e-001	-1.342453e+001
4.833147698691599e-003	-8.666080e-001	-1.340003e+001
4.834977061462454e-003	-8.608127e-001	-1.341787e+001
4.836806424233309e-003	-8.549059e-001	-1.342156e+001
4.838635787004164e-003	-8.488876e-001	-1.341110e+001
4.840465149775020e-003	-8.427577e-001	-1.338648e+001
4.842294512545875e-003	-8.365164e-001	-1.334770e+001
4.844123875316730e-003	-8.301636e-001	-1.329477e+001
4.845953238087585e-003	-8.236992e-001	-1.322768e+001
4.858740978703200e-003	-7.745807e-001	-1.244119e+001
4.871528719318815e-003	-7.213947e-001	-1.159062e+001
4.884316459934430e-003	-6.641410e-001	-1.067596e+001
4.897104200550045e-003	-6.028198e-001	-9.697215e+000
4.909891941165660e-003	-5.374310e-001	-8.654385e+000
4.922679681781274e-003	-4.679747e-001	-7.547469e+000
4.935467422396889e-003	-3.944508e-001	-6.376468e+000
4.953045547396890e-003	-2.907624e-001	-4.721045e+000
4.964764297396890e-003	-2.195883e-001	-3.584191e+000
4.982342422396891e-003	-1.107184e-001	-1.844447e+000
4.999920547396891e-003	-4.992154e-004	-8.222426e-002
5.017498672396892e-003	1.097260e-001	1.681002e+000
5.035076797396893e-003	2.186141e-001	3.423747e+000
5.052654922396893e-003	3.248382e-001	5.124773e+000
5.070233047396894e-003	4.271038e-001	6.763351e+000
5.087811172396895e-003	5.241646e-001	8.319517e+000
5.105389297396895e-003	6.148379e-001	9.774305e+000
5.122967422396896e-003	6.980188e-001	1.110999e+001
5.140545547396897e-003	7.726936e-001	1.231029e+001
5.143077419320939e-003	7.827011e-001	1.248367e+001
5.145609291244983e-003	7.925040e-001	1.264761e+001
5.148141163169025e-003	8.021023e-001	1.280209e+001
5.150673035093069e-003	8.114959e-001	1.294713e+001
5.153204907017111e-003	8.206850e-001	1.308272e+001
5.155736778941155e-003	8.296694e-001	1.320885e+001
5.158268650865197e-003	8.384492e-001	1.332554e+001
5.168968417284529e-003	8.734354e-001	1.336891e+001
5.179668183703859e-003	9.041863e-001	1.340333e+001
5.190367950123190e-003	9.307020e-001	1.342878e+001
5.201067716542520e-003	9.529824e-001	1.344527e+001
5.211767482961851e-003	9.710276e-001	1.345281e+001
5.222467249381181e-003	9.848375e-001	1.345138e+001
5.233167015800512e-003	9.944121e-001	1.344099e+001
5.250745140800513e-003	9.999890e-001	1.344206e+001
5.268323265800514e-003	9.933800e-001	1.344117e+001
5.285901390800514e-003	9.746656e-001	1.343808e+001
5.303479515800515e-003	9.440739e-001	1.343187e+001
5.321057640800516e-003	9.019777e-001	1.341948e+001
5.324475060995040e-003	8.924864e-001	1.342766e+001
5.327892481189566e-003	8.825957e-001	1.342679e+001
5.331309901384090e-003	8.723058e-001	1.341688e+001
5.334727321578615e-003	8.616165e-001	1.339794e+001
5.338144741773140e-003	8.505279e-001	1.336995e+001
5.341562161967665e-003	8.390399e-001	1.333292e+001
5.344979582162190e-003	8.271527e-001	1.328686e+001
5.357664288021722e-003	7.788833e-001	1.251196e+001
5.370348993881253e-003	7.265639e-001	1.167374e+001
5.383033699740785e-003	6.701942e-001	1.077220e+001
5.395718405600316e-003	6.097744e-001	9.807333e+000
5.408403111459848e-003	5.453045e-001	8.779141e+000
5.421087817319380e-003	4.767844e-001	7.687626e+000
5.433772523178912e-003	4.042142e-001	6.532786e+000
5.451350648178912e-003	3.009349e-001	4.883960e+000
5.468928773178913e-003	1.939885e-001	3.175618e+000
5.486506898178914e-003	8.467814e-002	1.428579e+000
5.504085023178914e-003	-2.566414e-002	-3.358681e-001
5.521663148178915e-003	-1.356937e-001	-2.096220e+000
5.539241273178916e-003	-2.440696e-001	-3.831024e+000
5.556819398178916e-003	-3.494713e-001	-5.519139e+000
5.574397523178917e-003	-4.506144e-001	-7.139994e+000
5.591975648178918e-003	-5.462662e-001	-8.673835e+000
5.609553773178918e-003	-6.352612e-001	-1.010197e+001
5.627131898178919e-003	-7.165148e-001	-1.140700e+001
5.644710023178920e-003	-7.890370e-001	-1.257302e+001
5.658169603369889e-003	-8.381099e-001	-1.331848e+001
5.666530205443830e-003	-8.657361e-001	-1.336316e+001
