time	V(in,-)	V(out)	V(in,+)
2.218502907544625e-003	2.000000e+000	3.448748e+000	2.185029e+000
2.221703385410497e-003	2.000000e+000	3.453949e+000	2.217034e+000
2.224903863276369e-003	2.000000e+000	3.455941e+000	2.249039e+000
2.228104341142241e-003	2.000000e+000	3.454722e+000	2.281043e+000
2.240660144713669e-003	2.000000e+000	3.462509e+000	2.406601e+000
2.253215948285097e-003	2.000000e+000	3.468748e+000	2.532159e+000
2.265771751856525e-003	2.000000e+000	3.473440e+000	2.657717e+000
2.278327555427953e-003	2.000000e+000	3.476584e+000	2.783275e+000
2.290883358999381e-003	2.000000e+000	3.478180e+000	2.908833e+000
2.303439162570809e-003	2.000000e+000	3.478229e+000	3.034392e+000
2.315994966142237e-003	2.000000e+000	3.476730e+000	3.159950e+000
2.500335547238663e-003	2.000000e+000	3.476730e+000	4.996644e+000
2.721674921117092e-003	2.000000e+000	3.476427e+000	2.783251e+000
2.739253046117091e-003	2.000000e+000	3.473489e+000	2.607470e+000
2.747623581831377e-003	2.000000e+000	3.474775e+000	2.523764e+000
2.755994117545662e-003	2.000000e+000	3.472304e+000	2.440059e+000
2.764364653259948e-003	2.000000e+000	3.466075e+000	2.356353e+000
2.772735188974233e-003	2.000000e+000	3.456088e+000	2.272648e+000
2.781105724688518e-003	2.000000e+000	3.442344e+000	2.188943e+000
2.789476260402803e-003	2.000000e+000	3.424841e+000	2.105237e+000
2.797846796117089e-003	2.000000e+000	3.403581e+000	2.021532e+000
2.800044061742089e-003	2.000000e+000	3.368862e+000	1.999559e+000
2.801590974000805e-003	2.000000e+000	3.170489e+000	1.984090e+000
2.802812452806782e-003	2.000000e+000	2.659891e+000	1.971876e+000
2.804212595677010e-003	2.000000e+000	1.864968e+000	1.957874e+000
2.804971646575021e-003	2.000000e+000	1.633070e+000	1.950284e+000
2.805519608176891e-003	2.000000e+000	1.604997e+000	1.944804e+000
2.807527146587051e-003	2.000000e+000	1.584696e+000	1.924729e+000
2.813034858745796e-003	2.000000e+000	1.570506e+000	1.869651e+000
2.818542570904540e-003	2.000000e+000	1.558592e+000	1.814574e+000
2.824050283063285e-003	2.000000e+000	1.548953e+000	1.759497e+000
2.829557995222030e-003	2.000000e+000	1.541590e+000	1.704420e+000
2.835065707380775e-003	2.000000e+000	1.536503e+000	1.649343e+000
2.840573419539519e-003	2.000000e+000	1.533691e+000	1.594266e+000
2.846081131698264e-003	2.000000e+000	1.533156e+000	1.539189e+000
2.857799881698263e-003	2.000000e+000	1.528995e+000	1.422001e+000
2.898815506698262e-003	2.000000e+000	1.523909e+000	1.011845e+000
2.904674881698262e-003	2.000000e+000	1.523665e+000	9.532512e-001
2.910534256698261e-003	2.000000e+000	1.523482e+000	8.946575e-001
2.916393631698261e-003	2.000000e+000	1.523353e+000	8.360637e-001
2.922253006698261e-003	2.000000e+000	1.523292e+000	7.774700e-001
2.928112381698261e-003	2.000000e+000	1.523361e+000	7.188762e-001
2.933971756698261e-003	2.000000e+000	1.523678e+000	6.602825e-001
2.939831131698260e-003	2.000000e+000	1.524332e+000	6.016887e-001
2.945690506698260e-003	2.000000e+000	1.525306e+000	5.430950e-001
2.951549881698260e-003	2.000000e+000	1.526532e+000	4.845012e-001
2.957409256698260e-003	2.000000e+000	1.527956e+000	4.259075e-001
2.963268631698260e-003	2.000000e+000	1.529556e+000	3.673137e-001
2.974987381698259e-003	2.000000e+000	1.533294e+000	2.501262e-001
2.992565506698258e-003	2.000000e+000	1.540546e+000	7.434496e-002
3.000000003000004e-003	2.000000e+000	1.544508e+000	0.000000e+000
